Test,item,result,spec lower,spec upper,fill,Test_conditions,Spring,pc_from_lim,closest_to_spec,,
Depth injection,69,6.8116,2.34,,1ml,Standard,Strong,,2.9,,
Depth injection,70,6.5865,2.34,,1ml,Standard,Strong,,2.8,,
Depth injection,71,6.2662,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,72,6.3741,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,73,6.352,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,74,6.3489,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,75,6.4047,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,76,6.2773,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,77,6.3993,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,78,6.3511,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,79,6.3838,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,80,6.3776,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,81,6.3664,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,82,6.3782,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,83,6.3306,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,84,6.3374,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,85,6.322,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,86,6.1689,2.34,,2.25ml,Standard,Weak,,2.6,,
Depth injection,87,6.4076,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,88,6.3979,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,89,6.365,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,90,6.3948,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,91,6.3318,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,92,6.3779,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,93,6.3877,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,94,6.3114,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,95,6.3338,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,96,6.4181,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,97,6.3428,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,98,6.3912,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,99,6.4568,2.34,,2.25ml,Standard,Weak,,2.8,,
Depth injection,100,6.2161,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,101,6.3017,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,102,6.2655,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,103,6.3711,2.34,,2.25ml,Standard,Weak,,2.7,,
Depth injection,104,6.4792,2.34,,2.25ml,Standard,Weak,,2.8,,
