Curve,Extension,Force
1,3.2,4.25
1,3.21,4.3
1,3.22,4.3
1,3.23,4.3
1,3.24,4.3
1,3.25,4.25
1,3.26,4.25
1,3.27,4.3
1,3.28,4.3
1,3.29,4.3
1,3.3,4.3
1,3.31,4.3
1,3.32,4.3
1,3.33,4.3
1,3.34,4.35
1,3.35,4.35
1,3.36,4.35
1,3.37,4.35
1,3.38,4.35
1,3.39,4.35
1,3.4,4.35
1,3.41,4.35
1,3.42,4.35
1,3.43,4.4
1,3.44,4.4
1,3.45,4.4
1,3.46,4.4
1,3.47,4.4
1,3.48,4.4
1,3.49,4.4
1,3.5,4.4
1,3.51,4.4
1,3.52,4.45
1,3.53,4.45
1,3.54,4.45
1,3.55,4.45
1,3.56,4.45
1,3.57,4.45
1,3.58,4.45
1,3.59,4.45
1,3.6,4.5
1,3.61,4.5
1,3.62,4.45
1,3.63,4.5
1,3.64,4.5
1,3.65,4.5
1,3.66,4.5
1,3.67,4.5
1,3.68,4.5
1,3.69,4.5
1,3.7,4.5
1,3.71,4.5
1,3.72,4.5
1,3.73,4.5
1,3.74,4.5
1,3.75,4.5
1,3.76,4.5
1,3.77,4.5
1,3.78,4.5
1,3.79,4.55
1,3.8,4.55
1,3.81,4.55
1,3.82,4.5
1,3.83,4.55
1,3.84,4.5
1,3.85,4.5
1,3.86,4.5
1,3.87,4.5
1,3.88,4.55
1,3.89,4.6
1,3.9,4.55
1,3.91,4.55
1,3.92,4.55
1,3.93,4.55
1,3.94,4.6
1,3.95,4.6
1,3.96,4.6
1,3.97,4.6
1,3.98,4.6
1,3.99,4.6
1,4,4.6
1,4.01,4.6
1,4.02,4.6
1,4.03,4.6
1,4.04,4.6
1,4.05,4.6
1,4.06,4.6
1,4.07,4.6
1,4.08,4.65
1,4.09,4.65
1,4.1,4.65
1,4.11,4.7
1,4.12,4.7
1,4.13,4.7
1,4.14,4.7
1,4.15,4.7
1,4.16,4.7
1,4.17,4.7
1,4.18,4.7
1,4.19,4.7
1,4.2,4.7
1,4.21,4.7
1,4.22,4.7
1,4.23,4.75
1,4.24,4.75
1,4.25,4.75
1,4.26,4.75
1,4.27,4.75
1,4.28,4.75
1,4.29,4.75
1,4.3,4.75
1,4.31,4.7
1,4.32,4.7
1,4.33,4.7
1,4.34,4.75
1,4.35,4.75
1,4.36,4.75
1,4.37,4.75
1,4.38,4.75
1,4.39,4.75
1,4.4,4.75
1,4.41,4.75
1,4.42,4.75
1,4.43,4.75
1,4.44,4.8
1,4.45,4.8
1,4.46,4.75
1,4.47,4.75
1,4.48,4.75
1,4.49,4.75
1,4.5,4.75
1,4.51,4.8
1,4.52,4.8
1,4.53,4.75
1,4.54,4.75
1,4.55,4.8
1,4.56,4.8
1,4.57,4.75
1,4.58,4.75
1,4.59,4.8
1,4.6,4.75
1,4.61,4.75
1,4.62,4.75
1,4.63,4.75
1,4.64,4.8
1,4.65,4.8
1,4.66,4.75
1,4.67,4.75
1,4.68,4.8
1,4.69,4.8
1,4.7,4.75
1,4.71,4.8
1,4.72,4.8
1,4.73,4.8
1,4.74,4.8
1,4.75,4.8
1,4.76,4.8
1,4.77,4.8
1,4.78,4.85
1,4.79,4.8
1,4.8,4.8
1,4.81,4.8
1,4.82,4.8
1,4.83,4.8
1,4.84,4.8
1,4.85,4.75
1,4.86,4.7
1,4.87,4.7
1,4.88,4.7
1,4.89,4.7
1,4.9,4.75
1,4.91,4.75
1,4.92,4.8
1,4.93,4.8
1,4.94,4.8
1,4.95,4.75
1,4.96,4.75
1,4.97,4.75
1,4.98,4.75
1,4.99,4.7
1,5,4.7
1,5.01,4.7
1,5.02,4.7
1,5.03,4.65
1,5.04,4.65
1,5.05,4.65
1,5.06,4.65
1,5.07,4.7
1,5.08,4.7
1,5.09,4.7
1,5.1,4.75
1,5.11,4.7
1,5.12,4.7
1,5.13,4.7
1,5.14,4.65
1,5.15,4.65
1,5.16,4.7
1,5.17,4.7
1,5.18,4.7
1,5.19,4.7
1,5.2,4.7
1,5.21,4.7
1,5.22,4.75
1,5.23,4.75
1,5.24,4.75
1,5.25,4.75
1,5.26,4.7
1,5.27,4.7
1,5.28,4.7
1,5.29,4.7
1,5.3,4.7
1,5.31,4.7
1,5.32,4.65
1,5.33,4.65
1,5.34,4.6
1,5.35,4.6
1,5.36,4.6
1,5.37,4.6
1,5.38,4.6
1,5.39,4.6
1,5.4,4.6
1,5.41,4.6
1,5.42,4.6
1,5.43,4.6
1,5.44,4.6
1,5.45,4.6
1,5.46,4.55
1,5.47,4.55
1,5.48,4.55
1,5.49,4.5
1,5.5,4.5
1,5.51,4.55
1,5.52,4.55
1,5.53,4.5
1,5.54,4.5
1,5.55,4.5
1,5.56,4.5
1,5.57,4.45
1,5.58,4.45
1,5.59,4.45
1,5.6,4.4
1,5.61,4.35
1,5.62,4.35
1,5.63,4.3
1,5.64,4.3
1,5.65,4.25
1,5.66,4.2
1,5.67,4.15
1,5.68,4.1
1,5.69,4.1
1,5.7,3.95
1,5.71,3.95
1,5.72,3.85
1,5.73,3.8
1,5.74,3.75
1,5.75,3.7
1,5.76,3.65
1,5.77,3.6
1,5.78,3.55
1,5.79,3.5
1,5.8,3.4
1,5.81,3.4
1,5.82,3.4
1,5.83,3.4
1,5.84,3.4
1,5.85,3.4
1,5.86,3.4
1,5.87,3.4
1,5.88,3.4
1,5.89,3.4
1,5.9,3.4
1,5.91,3.3
1,5.92,3
1,5.93,2.8
1,5.94,3.05
