Test,Item,result,syringe_type,Test_conditions,Device
Force to fire and hold,117,10.225,N/a,Cool,Connected
Force to fire and hold,118,10.5,N/a,Cool,Connected
Force to fire and hold,119,10.16,N/a,Cool,Connected
Force to fire and hold,120,10.075,N/a,Cool,Connected
Force to fire and hold,121,10.24,N/a,Cool,Connected
Force to fire and hold,122,10.075,N/a,Cool,Connected
Force to fire and hold,123,9.9,N/a,Cool,Connected
Force to fire and hold,124,10.36,N/a,Cool,Connected
Force to fire and hold,125,10.175,N/a,Cool,Connected
Force to fire and hold,126,10.4,N/a,Cool,Connected
Force to fire and hold,127,10.85,N/a,Cool,Connected
Force to fire and hold,128,10.875,N/a,Cool,Connected
Force to fire and hold,129,10.16,N/a,Cool,Connected
Force to fire and hold,130,10.45,N/a,Cool,Connected
Force to fire and hold,131,10.2,N/a,Cool,Connected
Force to fire and hold,132,10.375,N/a,Cool,Connected
Force to fire and hold,133,10.775,N/a,Cool,Connected
Force to fire and hold,134,10.16,N/a,Cool,Connected
Force to fire and hold,135,9.85,N/a,Cool,Connected
Force to fire and hold,136,9.85,N/a,Cool,Connected
Force to fire and hold,137,10.04,N/a,Cool,Connected
Force to fire and hold,138,10.175,N/a,Cool,Connected
Force to fire and hold,139,10.16,N/a,Cool,Connected
Force to fire and hold,140,9.76,N/a,Cool,Connected
Force to fire and hold,141,10.16,N/a,Cool,Connected
Force to fire and hold,142,9.325,N/a,Warm,Connected
Force to fire and hold,143,9.125,N/a,Warm,Connected
Force to fire and hold,144,10.15,N/a,Warm,Connected
Force to fire and hold,145,10.15,N/a,Warm,Connected
Force to fire and hold,146,9.425,N/a,Warm,Connected
Force to fire and hold,147,9.75,N/a,Warm,Connected
Force to fire and hold,148,9.125,N/a,Warm,Connected
Force to fire and hold,149,9.7,N/a,Warm,Connected
Force to fire and hold,150,9.425,N/a,Warm,Connected
Force to fire and hold,151,9.325,N/a,Warm,Connected
Force to fire and hold,152,9.95,N/a,Warm,Connected
Force to fire and hold,153,9.5,N/a,Warm,Connected
Force to fire and hold,154,9.175,N/a,Warm,Connected
Force to fire and hold,155,9.225,N/a,Warm,Connected
Force to fire and hold,156,10.15,N/a,Warm,Connected
Force to fire and hold,157,9.15,N/a,Warm,Connected
Force to fire and hold,158,9,N/a,Warm,Connected
Force to fire and hold,159,9.475,N/a,Warm,Connected
Force to fire and hold,160,9.225,N/a,Warm,Connected
Force to fire and hold,161,9.8,N/a,Warm,Connected
Force to fire and hold,162,10.525,N/a,Warm,Connected
Force to fire and hold,163,11.15,N/a,Warm,Connected
Force to fire and hold,164,9.325,N/a,Warm,Connected
Force to fire and hold,165,10.025,N/a,Warm,Connected
Force to fire and hold,166,9.975,N/a,Warm,Connected
Force to fire and hold,167,9.925,N/a,Warm,Connected
Force to fire and hold,168,10.225,N/a,Warm,Connected
Force to fire and hold,169,9.25,N/a,Warm,Connected
Force to fire and hold,170,9.625,N/a,Warm,Connected
Force to fire and hold,171,9.4,N/a,Warm,Connected
Force to fire and hold,172,9.2,N/a,Warm,Connected
Force to fire and hold,173,9.575,N/a,Warm,Connected
Force to fire and hold,174,9.325,N/a,Warm,Connected
Force to fire and hold,175,9.125,N/a,Warm,Connected
Force to fire and hold,176,9.375,N/a,Warm,Connected
Force to fire and hold,177,12,N/a,Life cycle,Connected
Force to fire and hold,178,12.725,N/a,Life cycle,Connected
Force to fire and hold,179,11.025,N/a,Life cycle,Connected
Force to fire and hold,180,13.6,N/a,Life cycle,Connected
Force to fire and hold,181,12.64,N/a,Life cycle,Connected
Force to fire and hold,182,12.925,N/a,Life cycle,Connected
Force to fire and hold,183,12.625,N/a,Life cycle,Connected
Force to fire and hold,184,12.85,N/a,Life cycle,Connected
Force to fire and hold,185,12.575,N/a,Life cycle,Connected
Force to fire and hold,186,12.4,N/a,Life cycle,Connected
Force to fire and hold,187,12.4,N/a,Life cycle,Connected
Force to fire and hold,188,12.075,N/a,Life cycle,Connected
Force to fire and hold,189,13,N/a,Life cycle,Connected
Force to fire and hold,190,12.825,N/a,Life cycle,Connected
Force to fire and hold,191,12.2,N/a,Life cycle,Connected
Force to fire and hold,192,12.625,N/a,Life cycle,Connected
Force to fire and hold,193,12.925,N/a,Life cycle,Connected
Force to fire and hold,194,11.45,N/a,Life cycle,Connected
Force to fire and hold,195,13.075,N/a,Life cycle,Connected
Force to fire and hold,196,13.125,N/a,Life cycle,Connected
Force to fire and hold,197,9.875,N/a,Free Fall,Connected
Force to fire and hold,198,9.825,N/a,Free Fall,Connected
Force to fire and hold,199,9.775,N/a,Free Fall,Connected
Force to fire and hold,200,9.85,N/a,Free Fall,Connected
Force to fire and hold,201,9.6,N/a,Free Fall,Connected
Force to fire and hold,202,9.425,N/a,Free Fall,Connected
Force to fire and hold,203,9.725,N/a,Free Fall,Connected
Force to fire and hold,204,9.775,N/a,Free Fall,Connected
Force to fire and hold,205,9.825,N/a,Free Fall,Connected
Force to fire and hold,206,9.9,N/a,Free Fall,Connected
Force to fire and hold,207,9.6,N/a,Free Fall,Connected
Force to fire and hold,208,9.425,N/a,Free Fall,Connected
Force to fire and hold,209,9.425,N/a,Free Fall,Connected
Force to fire and hold,210,9.525,N/a,Free Fall,Connected
Force to fire and hold,211,9.425,N/a,Free Fall,Connected
Force to fire and hold,212,9.475,N/a,Free Fall,Connected
Force to fire and hold,213,9.7,N/a,Free Fall,Connected
Force to fire and hold,214,9.675,N/a,Free Fall,Connected
Force to fire and hold,215,9.725,N/a,Free Fall,Connected
Force to fire and hold,216,9.575,N/a,Free Fall,Connected
Force to fire and hold,217,9.25,N/a,Free Fall,Connected
Force to fire and hold,218,9.625,N/a,Free Fall,Connected
Force to fire and hold,219,9.4,N/a,Free Fall,Connected
Force to fire and hold,220,10.04,N/a,Free Fall,Connected
Force to fire and hold,221,9.525,N/a,Free Fall,Connected
Force to fire and hold,222,9.35,N/a,Free Fall,Connected
Force to fire and hold,223,9.68,N/a,Free Fall,Connected
Force to fire and hold,224,9.76,N/a,Free Fall,Connected
Force to fire and hold,225,9.85,N/a,Free Fall,Connected
Force to fire and hold,226,9.525,N/a,Free Fall,Connected
Force to fire and hold,227,9.84,N/a,Free Fall,Connected
Force to fire and hold,228,9.65,N/a,Free Fall,Connected
Force to fire and hold,229,9.825,N/a,Free Fall,Connected
Force to fire and hold,230,9.5,N/a,Free Fall,Connected
Force to fire and hold,231,9.625,N/a,Free Fall,Connected
Force to fire and hold,232,9.7,N/a,Free Fall,Non-connected
Force to fire and hold,233,9.36,N/a,Free Fall,Non-connected
Force to fire and hold,234,9.525,N/a,Free Fall,Non-connected
Force to fire and hold,235,9.775,N/a,Free Fall,Non-connected
Force to fire and hold,236,9.4,N/a,Free Fall,Non-connected
Force to fire and hold,237,9.575,N/a,Free Fall,Non-connected
Force to fire and hold,238,9.76,N/a,Free Fall,Non-connected
Force to fire and hold,239,9.675,N/a,Free Fall,Non-connected
Force to fire and hold,240,9.4,N/a,Free Fall,Non-connected
Force to fire and hold,241,9.875,N/a,Free Fall,Non-connected
Force to fire and hold,242,9.425,N/a,Free Fall,Non-connected
Force to fire and hold,243,9.3,N/a,Free Fall,Non-connected
Force to fire and hold,244,9.3,N/a,Free Fall,Non-connected
Force to fire and hold,245,9.52,N/a,Free Fall,Non-connected
Force to fire and hold,246,9.5,N/a,Free Fall,Non-connected
Force to fire and hold,247,9.65,N/a,Free Fall,Non-connected
Force to fire and hold,248,9.525,N/a,Free Fall,Non-connected
Force to fire and hold,249,9.375,N/a,Free Fall,Non-connected
Force to fire and hold,250,9.36,N/a,Free Fall,Non-connected
Force to fire and hold,251,9.775,N/a,Free Fall,Non-connected
Force to fire and hold,252,9.925,N/A,Cold Storage,Connected
Force to fire and hold,253,10.125,N/A,Cold Storage,Connected
Force to fire and hold,254,10,N/A,Cold Storage,Connected
Force to fire and hold,255,10.525,N/A,Cold Storage,Connected
Force to fire and hold,256,9.975,N/A,Cold Storage,Connected
Force to fire and hold,257,10.125,N/A,Cold Storage,Connected
Force to fire and hold,258,9.925,N/A,Cold Storage,Connected
Force to fire and hold,259,9.825,N/A,Cold Storage,Connected
Force to fire and hold,260,10.05,N/A,Cold Storage,Connected
Force to fire and hold,261,9.675,N/A,Cold Storage,Connected
Force to fire and hold,262,9.85,N/A,Cold Storage,Connected
Force to fire and hold,263,10.175,N/A,Cold Storage,Connected
Force to fire and hold,264,9.96,N/A,Cold Storage,Connected
Force to fire and hold,265,10.35,N/A,Cold Storage,Connected
Force to fire and hold,266,10.05,N/A,Cold Storage,Connected
Force to fire and hold,267,9.85,N/A,Cold Storage,Connected
Force to fire and hold,268,10.08,N/A,Cold Storage,Connected
Force to fire and hold,269,10.05,N/A,Cold Storage,Connected
Force to fire and hold,270,10.225,N/A,Cold Storage,Connected
Force to fire and hold,271,10.08,N/A,Cold Storage,Connected
Force to fire and hold,272,10.12,N/A,Cold Storage,Connected
Force to fire and hold,273,10.1,N/A,Cold Storage,Connected
Force to fire and hold,274,10.55,N/A,Cold Storage,Connected
Force to fire and hold,275,9.9,N/A,Cold Storage,Connected
Force to fire and hold,276,10.32,N/A,Cold Storage,Connected
Force to fire and hold,277,10.25,N/A,Cold Storage,Connected
Force to fire and hold,278,10.025,N/A,Cold Storage,Connected
Force to fire and hold,279,10.425,N/A,Cold Storage,Connected
Force to fire and hold,280,10.025,N/A,Cold Storage,Connected
Force to fire and hold,281,10.2,N/A,Cold Storage,Connected
Force to fire and hold,282,10.05,N/A,Cold Storage,Connected
Force to fire and hold,283,9.85,N/A,Cold Storage,Connected
Force to fire and hold,284,10.125,N/A,Cold Storage,Connected
Force to fire and hold,285,10.125,N/A,Cold Storage,Connected
Force to fire and hold,286,9.9,N/A,Cold Storage,Connected
Force to fire and hold,287,10,N/A,Cyclical,Connected
Force to fire and hold,288,9.76,N/A,Cyclical,Connected
Force to fire and hold,289,10.1,N/A,Cyclical,Connected
Force to fire and hold,290,9.84,N/A,Cyclical,Connected
Force to fire and hold,291,9.96,N/A,Cyclical,Connected
Force to fire and hold,292,9.9,N/A,Cyclical,Connected
Force to fire and hold,293,9.875,N/A,Cyclical,Connected
Force to fire and hold,294,10,N/A,Cyclical,Connected
Force to fire and hold,295,10.04,N/A,Cyclical,Connected
Force to fire and hold,296,10.1,N/A,Cyclical,Connected
Force to fire and hold,297,9.92,N/A,Cyclical,Connected
Force to fire and hold,298,9.9,N/A,Cyclical,Connected
Force to fire and hold,299,9.825,N/A,Cyclical,Connected
Force to fire and hold,300,9.8,N/A,Cyclical,Connected
Force to fire and hold,301,10,N/A,Cyclical,Connected
Force to fire and hold,302,10,N/A,Cyclical,Connected
Force to fire and hold,303,9.64,N/A,Cyclical,Connected
Force to fire and hold,304,9.96,N/A,Cyclical,Connected
Force to fire and hold,305,9.84,N/A,Cyclical,Connected
Force to fire and hold,306,10,N/A,Cyclical,Connected
Force to fire and hold,307,9.9,N/A,Cyclical,Connected
Force to fire and hold,308,9.625,N/A,Cyclical,Connected
Force to fire and hold,309,9.9,N/A,Cyclical,Connected
Force to fire and hold,310,9.85,N/A,Cyclical,Connected
Force to fire and hold,311,9.88,N/A,Cyclical,Connected
Force to fire and hold,312,9.725,N/A,Cyclical,Connected
Force to fire and hold,313,9.76,N/A,Cyclical,Connected
Force to fire and hold,314,9.725,N/A,Cyclical,Connected
Force to fire and hold,315,10,N/A,Cyclical,Connected
Force to fire and hold,316,10.075,N/A,Cyclical,Connected
Force to fire and hold,317,9.9,N/A,Cyclical,Connected
Force to fire and hold,318,10.15,N/A,Cyclical,Connected
Force to fire and hold,319,10,N/A,Cyclical,Connected
Force to fire and hold,320,9.725,N/A,Cyclical,Connected
Force to fire and hold,321,10,N/A,Cyclical,Connected
Force to fire and hold,322,9.7,N/A,Vibration,Connected
Force to fire and hold,323,9.775,N/A,Vibration,Connected
Force to fire and hold,324,9.6,N/A,Vibration,Connected
