Test,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest_to_spec
gap creation,2.182,1.05,2.5,1.45,1.132,0.318,78.1,21.9,0.219
gap creation,2.343,1.05,2.5,1.45,1.293,0.157,89.2,10.8,0.108
gap creation,1.156,1.05,2.5,1.45,0.106,1.344,7.3,92.7,0.073
gap creation,1.036,1.05,2.5,1.45,-0.014,1.464,-1,101,-0.01
gap creation,1.185,1.05,2.5,1.45,0.135,1.315,9.3,90.7,0.093
gap creation,2.537,1.05,2.5,1.45,1.487,-0.037,102.6,-2.6,-0.026
gap creation,2.469,1.05,2.5,1.45,1.419,0.031,97.9,2.1,0.021
gap creation,2.944,1.05,2.5,1.45,1.894,-0.444,130.6,-30.6,-0.306
gap creation,2.209,1.05,2.5,1.45,1.159,0.291,79.9,20.1,0.201
gap creation,2.218,1.05,2.5,1.45,1.168,0.282,80.6,19.4,0.194
gap creation,2.317,1.05,2.5,1.45,1.267,0.183,87.4,12.6,0.126
gap creation,2.213,1.05,2.5,1.45,1.163,0.287,80.2,19.8,0.198
gap creation,1.948,1.05,2.5,1.45,0.898,0.552,61.9,38.1,0.381
gap creation,1.568,1.05,2.5,1.45,0.518,0.932,35.7,64.3,0.357
gap creation,2.309,1.05,2.5,1.45,1.259,0.191,86.8,13.2,0.132
gap creation,1.853,1.05,2.5,1.45,0.803,0.647,55.4,44.6,0.446
gap creation,1.46,1.05,2.5,1.45,0.41,1.04,28.3,71.7,0.283
gap creation,2.358,1.05,2.5,1.45,1.308,0.142,90.2,9.8,0.098
gap creation,1.986,1.05,2.5,1.45,0.936,0.514,64.6,35.4,0.354
gap creation,1.697,1.05,2.5,1.45,0.647,0.803,44.6,55.4,0.446
gap creation,2.439,1.05,2.5,1.45,1.389,0.061,95.8,4.2,0.042
gap creation,1.395,1.05,2.5,1.45,0.345,1.105,23.8,76.2,0.238
gap creation,2.101,1.05,2.5,1.45,1.051,0.399,72.5,27.5,0.275
gap creation,1.947,1.05,2.5,1.45,0.897,0.553,61.9,38.1,0.381
gap creation,1.717,1.05,2.5,1.45,0.667,0.783,46,54,0.46
gap creation,1.804,1.05,2.5,1.45,0.754,0.696,52,48,0.48
gap creation,2.21,1.05,2.5,1.45,1.16,0.29,80,20,0.2
gap creation,2.095,1.05,2.5,1.45,1.045,0.405,72.1,27.9,0.279
gap creation,1.942,1.05,2.5,1.45,0.892,0.558,61.5,38.5,0.385
gap creation,1.525,1.05,2.5,1.45,0.475,0.975,32.8,67.2,0.328
gap creation,2.174,1.05,2.5,1.45,1.124,0.326,77.5,22.5,0.225
gap creation,2.198,1.05,2.5,1.45,1.148,0.302,79.2,20.8,0.208
gap creation,1.907,1.05,2.5,1.45,0.857,0.593,59.1,40.9,0.409
gap creation,2.207,1.05,2.5,1.45,1.157,0.293,79.8,20.2,0.202
gap creation,2.355,1.05,2.5,1.45,1.305,0.145,90,10,0.1
gap creation,2.268,1.05,2.5,1.45,1.218,0.232,84,16,0.16
gap creation,1.831,1.05,2.5,1.45,0.781,0.669,53.9,46.1,0.461
gap creation,2.047,1.05,2.5,1.45,0.997,0.453,68.8,31.2,0.312
gap creation,1.623,1.05,2.5,1.45,0.573,0.877,39.5,60.5,0.395
gap creation,1.681,1.05,2.5,1.45,0.631,0.819,43.5,56.5,0.435
gap creation,1.942,1.05,2.5,1.45,0.892,0.558,61.5,38.5,0.385
gap creation,2.385,1.05,2.5,1.45,1.335,0.115,92.1,7.9,0.079
gap creation,1.846,1.05,2.5,1.45,0.796,0.654,54.9,45.1,0.451
gap creation,2.075,1.05,2.5,1.45,1.025,0.425,70.7,29.3,0.293
gap creation,1.766,1.05,2.5,1.45,0.716,0.734,49.4,50.6,0.494
gap creation,1.71,1.05,2.5,1.45,0.66,0.79,45.5,54.5,0.455
gap creation,1.427,1.05,2.5,1.45,0.377,1.073,26,74,0.26
gap creation,1.778,1.05,2.5,1.45,0.728,0.722,50.2,49.8,0.498
gap creation,2.145,1.05,2.5,1.45,1.095,0.355,75.5,24.5,0.245
gap creation,1.629,1.05,2.5,1.45,0.579,0.871,39.9,60.1,0.399
gap creation,2.32,1.05,2.5,1.45,1.27,0.18,87.6,12.4,0.124
gap creation,2.239,1.05,2.5,1.45,1.189,0.261,82,18,0.18
gap creation,2.359,1.05,2.5,1.45,1.309,0.141,90.3,9.7,0.097
gap creation,1.82,1.05,2.5,1.45,0.77,0.68,53.1,46.9,0.469
gap creation,1.675,1.05,2.5,1.45,0.625,0.825,43.1,56.9,0.431
gap creation,1.615,1.05,2.5,1.45,0.565,0.885,39,61,0.39
gap creation,1.545,1.05,2.5,1.45,0.495,0.955,34.1,65.9,0.341
gap creation,2.324,1.05,2.5,1.45,1.274,0.176,87.9,12.1,0.121
gap creation,1.305,1.05,2.5,1.45,0.255,1.195,17.6,82.4,0.176
gap creation,1.407,1.05,2.5,1.45,0.357,1.093,24.6,75.4,0.246
gap creation,1.047,1.05,2.5,1.45,-0.003,1.453,-0.2,100.2,-0.002
gap creation,2.297,1.05,2.5,1.45,1.247,0.203,86,14,0.14
gap creation,1.924,1.05,2.5,1.45,0.874,0.576,60.3,39.7,0.397
gap creation,1.239,1.05,2.5,1.45,0.189,1.261,13,87,0.13
gap creation,1.187,1.05,2.5,1.45,0.137,1.313,9.4,90.6,0.094
gap creation,2.769,1.05,2.5,1.45,1.719,-0.269,118.6,-18.6,-0.186
gap creation,2.46,1.05,2.5,1.45,1.41,0.04,97.2,2.8,0.028
gap creation,0.918,1.05,2.5,1.45,-0.132,1.582,-9.1,109.1,-0.091
gap creation,0.76,1.05,2.5,1.45,-0.29,1.74,-20,120,-0.2
gap creation,1.863,1.05,2.5,1.45,0.813,0.637,56.1,43.9,0.439
gap creation,2.576,1.05,2.5,1.45,1.526,-0.076,105.2,-5.2,-0.052
gap creation,2.473,1.05,2.5,1.45,1.423,0.027,98.1,1.9,0.019
gap creation,2.611,1.05,2.5,1.45,1.561,-0.111,107.7,-7.7,-0.077
gap creation,1.842,1.05,2.5,1.45,0.792,0.658,54.6,45.4,0.454
gap creation,2.458,1.05,2.5,1.45,1.408,0.042,97.1,2.9,0.029
gap creation,2.235,1.05,2.5,1.45,1.185,0.265,81.7,18.3,0.183
gap creation,2.261,1.05,2.5,1.45,1.211,0.239,83.5,16.5,0.165
gap creation,2.333,1.05,2.5,1.45,1.283,0.167,88.5,11.5,0.115
gap creation,2.138,1.05,2.5,1.45,1.088,0.362,75,25,0.25
gap creation,1.812,1.05,2.5,1.45,0.762,0.688,52.6,47.4,0.474
gap creation,2.039,1.05,2.5,1.45,0.989,0.461,68.2,31.8,0.318
gap creation,1.176,1.05,2.5,1.45,0.126,1.324,8.7,91.3,0.087
gap creation,1.856,1.05,2.5,1.45,0.806,0.644,55.6,44.4,0.444
gap creation,2.228,1.05,2.5,1.45,1.178,0.272,81.2,18.8,0.188
gap creation,1.915,1.05,2.5,1.45,0.865,0.585,59.7,40.3,0.403
gap creation,1.414,1.05,2.5,1.45,0.364,1.086,25.1,74.9,0.251
gap creation,1.814,1.05,2.5,1.45,0.764,0.686,52.7,47.3,0.473
gap creation,1.586,1.05,2.5,1.45,0.536,0.914,37,63,0.37
gap creation,1.232,1.05,2.5,1.45,0.182,1.268,12.6,87.4,0.126
gap creation,1.983,1.05,2.5,1.45,0.933,0.517,64.3,35.7,0.357
gap creation,1.847,1.05,2.5,1.45,0.797,0.653,55,45,0.45
gap creation,1.523,1.05,2.5,1.45,0.473,0.977,32.6,67.4,0.326
gap creation,2.123,1.05,2.5,1.45,1.073,0.377,74,26,0.26
gap creation,1.974,1.05,2.5,1.45,0.924,0.526,63.7,36.3,0.363
gap creation,2.116,1.05,2.5,1.45,1.066,0.384,73.5,26.5,0.265
gap creation,1.915,1.05,2.5,1.45,0.865,0.585,59.7,40.3,0.403
gap creation,1.488,1.05,2.5,1.45,0.438,1.012,30.2,69.8,0.302
gap creation,1.121,1.05,2.5,1.45,0.071,1.379,4.9,95.1,0.049
gap creation,1.664,1.05,2.5,1.45,0.614,0.836,42.3,57.7,0.423
gap creation,1.588,1.05,2.5,1.45,0.538,0.912,37.1,62.9,0.371
gap creation,1.445,1.05,2.5,1.45,0.395,1.055,27.2,72.8,0.272
gap creation,1.973,1.05,2.5,1.45,0.923,0.527,63.7,36.3,0.363
gap creation,1.962,1.05,2.5,1.45,0.912,0.538,62.9,37.1,0.371
gap creation,1.639,1.05,2.5,1.45,0.589,0.861,40.6,59.4,0.406
